sha256,class_label,split,relative_path,source,source_id,source_url,origin_url,license,license_url,attribution,format,width,height,file_size_bytes,retrieved_at
099ceb371de182674ab37e34a3a6d0e978ed098e71592169711f69ee0825e5d6,bird,train,images/train/bird/099ceb371de182674ab37e34a3a6d0e978ed098e71592169711f69ee0825e5d6.jpg,openverse,9d5af904-3dbf-4cc6-afe1-4a844b00b711,https://www.flickr.com/photos/48503330@N08/15521859014,https://live.staticflickr.com/7566/15521859014_9b9cbc7aa4_b.jpg,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,"""Birds-eye View"" by Kurayba is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",JPEG,1024,769,148168,2026-08-18 12:44:33.832172+00:00
1e3574e776a520d27985b6602fe73aed04c194b79ac5872c9bd4471ad3066dc2,bird,train,images/train/bird/1e3574e776a520d27985b6602fe73aed04c194b79ac5872c9bd4471ad3066dc2.jpg,openverse,8e87448b-bff4-4b47-9aae-17ef5594bfe8,https://www.flickr.com/photos/51149373@N08/52164328123,https://live.staticflickr.com/65535/52164328123_3b831285e3_b.jpg,PDM-1.0,https://creativecommons.org/publicdomain/mark/1.0/,"""Birds"" by fromfarbeyond is marked with Public Domain Mark 1.0. To view the terms, visit https://creativecommons.org/publicdomain/mark/1.0/.",JPEG,1024,1024,330282,2026-08-18 12:44:34.835917+00:00
1e486b4f9bb73a04d10beb727f3c70d3aaf740903de1204fd25e64f2f8320e02,bird,train,images/train/bird/1e486b4f9bb73a04d10beb727f3c70d3aaf740903de1204fd25e64f2f8320e02.jpg,openverse,6d9d3598-92be-4586-accc-ac35f4e830aa,https://www.flickr.com/photos/64607715@N05/51750242806,https://live.staticflickr.com/65535/51750242806_77c5468e08_b.jpg,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,"""Yellow Weaver Bird, Sth Sudan"" by Rod Waddington is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",JPEG,1024,683,220755,2026-08-18 12:44:34.340411+00:00
2714ffbdf03e9a84d3eedb1522a56e4ecab297ba773a4b8ed3956d2ef7a957c2,bird,train,images/train/bird/2714ffbdf03e9a84d3eedb1522a56e4ecab297ba773a4b8ed3956d2ef7a957c2.jpg,openverse,2c112cce-2151-4c66-afe7-4ef61bc128bc,https://www.flickr.com/photos/189561381@N07/52291890140,https://live.staticflickr.com/65535/52291890140_3acd840ed1_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Taxidermied Bird #7"" by claralieu is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,667,1024,153115,2026-08-18 12:44:34.835864+00:00
28148805e91bcf9cf1adf8be26b738320d4327ebe744fbeb092fadb6b58a2d41,bird,train,images/train/bird/28148805e91bcf9cf1adf8be26b738320d4327ebe744fbeb092fadb6b58a2d41.jpg,openverse,957543d5-98a6-4723-b978-1881f960c6b8,https://www.flickr.com/photos/64607715@N05/27225566554,https://live.staticflickr.com/7666/27225566554_d774a7bd69_b.jpg,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,"""Mouse Bird, Uganda"" by Rod Waddington is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",JPEG,714,1024,93608,2026-08-18 12:44:34.340391+00:00
299cf67804827b200c7e72a49d7282c7a427678dfec7f8df4f88f25e525b521e,bird,train,images/train/bird/299cf67804827b200c7e72a49d7282c7a427678dfec7f8df4f88f25e525b521e.jpg,openverse,94fb3d30-7826-45ef-b88a-4db2856ac354,https://www.flickr.com/photos/87249144@N08/52387378789,https://live.staticflickr.com/65535/52387378789_9be2caf682_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""b357 Bird watching"" by FolsomNatural is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,825,139110,2026-08-18 12:44:35.831877+00:00
2abbd8dd01315fab47f220eb1026e07dca40cfcba2a8b7462dc7e63fa77fbc8a,bird,train,images/train/bird/2abbd8dd01315fab47f220eb1026e07dca40cfcba2a8b7462dc7e63fa77fbc8a.jpg,openverse,7dc402c6-77b9-45d0-98a1-de0a63e449d8,https://www.flickr.com/photos/99058495@N00/52280964720,https://live.staticflickr.com/65535/52280964720_ab94c24a68_b.jpg,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,"""windows and birds"" by Mario A. P. is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",JPEG,1024,683,78856,2026-08-18 12:44:35.831854+00:00
30acca30dad81728b683235e69b3bfdbe7425fca27e315fe8b2788df55d2265a,bird,train,images/train/bird/30acca30dad81728b683235e69b3bfdbe7425fca27e315fe8b2788df55d2265a.jpg,openverse,b0b8e794-63fb-410c-84cc-de899d932a1f,https://www.flickr.com/photos/44124348109@N01/51317335477,https://live.staticflickr.com/65535/51317335477_877d2b3ff7_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Big Bird"" by jurvetson is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,736,188714,2026-08-18 12:44:34.340365+00:00
34c880cb414e702bfff17f26b1fa105437172b370ab21ab15534ea5532f7328b,bird,train,images/train/bird/34c880cb414e702bfff17f26b1fa105437172b370ab21ab15534ea5532f7328b.jpg,openverse,fba5bbd7-10be-43ff-ac18-1ef7709226c7,https://www.flickr.com/photos/153584064@N07/51927714758,https://live.staticflickr.com/65535/51927714758_3d587eb4cf_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Two Birds, One with Very Long Tailfeathers, and Blue Butterfly (1745) print in high resolution by George Edwards. Original from The National Gallery of Art. Digitally enhanced by rawpixel."" by Free Public Domain Illustrations by rawpixel is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,819,1024,189809,2026-08-18 12:44:34.835886+00:00
3c9adf50dcf17b4b2e8ff51e6f2f6da3505035f53f8a3c82542832051a243135,bird,train,images/train/bird/3c9adf50dcf17b4b2e8ff51e6f2f6da3505035f53f8a3c82542832051a243135.jpg,openverse,362783b4-7400-4610-ad42-417faf8b4dad,https://www.flickr.com/photos/87249144@N08/52014344533,https://live.staticflickr.com/65535/52014344533_78ce0bdf0a_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""B223 Birding"" by FolsomNatural is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,865,108713,2026-08-18 12:44:35.831872+00:00
3f755fca28bbc9689707143b4d58849765a5ae3ccec1636bb192c13aa06b091e,bird,train,images/train/bird/3f755fca28bbc9689707143b4d58849765a5ae3ccec1636bb192c13aa06b091e.jpg,openverse,bcbc3982-c24f-454d-b24a-a91f42116d81,https://www.flickr.com/photos/95163690@N07/51645234577,https://live.staticflickr.com/65535/51645234577_d7a26bc35d_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Early bird"" by Rikky_Satin is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,820,1024,208314,2026-08-18 12:44:33.832186+00:00
40e9161ded3db275b65dc5f42d13cc302698ad7b47599f340a8e48a4b012e050,bird,train,images/train/bird/40e9161ded3db275b65dc5f42d13cc302698ad7b47599f340a8e48a4b012e050.jpg,openverse,670a9244-aacf-483f-98e9-0630933f0820,https://www.flickr.com/photos/153584064@N07/51927563869,https://live.staticflickr.com/65535/51927563869_4dfd41d39a_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Two birds, including a red-green parrot (ca. 1720–1792) painting in high resolution by Aert Schouman. Original from the Rijksmuseum. Digitally enhanced by rawpixel."" by Free Public Domain Illustrations by rawpixel is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,718,1024,151955,2026-08-18 12:44:34.340396+00:00
44fd4eda0ec062cc5d382737f9eacdb851809914016ded28a06e2e27b2962b02,bird,train,images/train/bird/44fd4eda0ec062cc5d382737f9eacdb851809914016ded28a06e2e27b2962b02.jpg,openverse,a3eae3ad-c0fc-4d39-9b54-25c5395f666b,https://www.flickr.com/photos/87249144@N08/51896176669,https://live.staticflickr.com/65535/51896176669_b94cc21af7_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""B786 Birding"" by FolsomNatural is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,851,223409,2026-08-18 12:44:34.835904+00:00
4d0b818fc8c14316873d3b74e876eab08672e569c1193a63127870a3441772c6,bird,train,images/train/bird/4d0b818fc8c14316873d3b74e876eab08672e569c1193a63127870a3441772c6.jpg,openverse,3e2106a1-cbde-4dab-85ab-2b66ef9485b7,https://www.flickr.com/photos/12070225@N03/52093717693,https://live.staticflickr.com/65535/52093717693_a660a59c4d_b.jpg,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,"""Canary Bird"" by judy dean is licensed under CC BY-SA 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/2.0/.",JPEG,683,1024,217661,2026-08-18 12:44:35.333747+00:00
4e2e0a68be1b7d9fbdedd3d8724622b375ebaaf6aacc0825e7c244263b3167a3,bird,train,images/train/bird/4e2e0a68be1b7d9fbdedd3d8724622b375ebaaf6aacc0825e7c244263b3167a3.jpg,openverse,0c9f9129-92d5-4341-946d-a28970eceee5,https://www.flickr.com/photos/54423233@N05/16355659094,https://live.staticflickr.com/8718/16355659094_79c87921c4_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Bird on Netting"" by Matthew Murdoch is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,683,375373,2026-08-18 12:44:35.333702+00:00
54769b8a8cf2d309ec94ddfd387c660f472680775283bce2bb783763b738b562,bird,train,images/train/bird/54769b8a8cf2d309ec94ddfd387c660f472680775283bce2bb783763b738b562.jpg,openverse,f76f3f7b-8e4a-4da0-bd19-365f8ca8ae82,https://www.flickr.com/photos/23501684@N00/52469741389,https://live.staticflickr.com/65535/52469741389_ac2d3d73f8_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Alebrije 3 Bird 3"" by Bill Ward's Brickpile is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,794,214034,2026-08-18 12:44:34.340376+00:00
5c2f7da8c6bd0f32ba2daa6b9c2290761649247f6fbe283792530397b4944a0b,bird,train,images/train/bird/5c2f7da8c6bd0f32ba2daa6b9c2290761649247f6fbe283792530397b4944a0b.jpg,openverse,991eaefb-4d1b-4020-9dbf-f5cef408a9d0,https://www.flickr.com/photos/115357548@N08/51332472761,https://live.staticflickr.com/65535/51332472761_505bd4f0d3_b.jpg,PDM-1.0,https://creativecommons.org/publicdomain/mark/1.0/,"""Bird of Prey"" by Joshua Tree National Park is marked with Public Domain Mark 1.0. To view the terms, visit https://creativecommons.org/publicdomain/mark/1.0/.",JPEG,1024,683,240032,2026-08-18 12:44:34.835837+00:00
604ddaaf7a327e6dfc1de1fad900b688f2af010590abbf037fc261be31474fbc,bird,train,images/train/bird/604ddaaf7a327e6dfc1de1fad900b688f2af010590abbf037fc261be31474fbc.jpg,openverse,c3a657cb-730f-4f4d-bc8c-a317d8bc7ce8,https://www.flickr.com/photos/153584064@N07/51928257660,https://live.staticflickr.com/65535/51928257660_78d784b97f_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""A natural history of uncommon birds (1743–1751) print in high resolution by George Edwards. Original from The Beinecke Rare Book & Manuscript Library. Digitally enhanced by rawpixel."" by Free Public Domain Illustrations by rawpixel is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,819,1024,179644,2026-08-18 12:44:35.831895+00:00
6316998035849b663e850e3bde97fb71c62c5b08c465270b1183bc7ba0aeecf1,bird,train,images/train/bird/6316998035849b663e850e3bde97fb71c62c5b08c465270b1183bc7ba0aeecf1.jpg,openverse,17d87c3d-c1a1-45a0-9dd8-f40d64102c96,https://www.flickr.com/photos/153584064@N07/51928257520,https://live.staticflickr.com/65535/51928257520_967f38c8f6_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Bird Study painting in high resolution by George Edwards (1694-1773). Original from The Cleveland Museum of Art. Digitally enhanced by rawpixel."" by Free Public Domain Illustrations by rawpixel is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,754,1024,218610,2026-08-18 12:44:35.333706+00:00
63f3fbe88f31990439dd69cc059324b09593349cead863bc44680ea9ee842856,bird,train,images/train/bird/63f3fbe88f31990439dd69cc059324b09593349cead863bc44680ea9ee842856.jpg,openverse,5559911d-0716-4c41-9a8d-bb4cfa53086b,https://www.flickr.com/photos/106602675@N05/52045536700,https://live.staticflickr.com/65535/52045536700_0afd62c5c6.jpg,PDM-1.0,https://creativecommons.org/publicdomain/mark/1.0/,"""One of our semi-regular Piping Plover breeding birds, has returned to South Point"" by CapeHatterasNPS is marked with Public Domain Mark 1.0. To view the terms, visit https://creativecommons.org/publicdomain/mark/1.0/.",JPEG,470,500,48765,2026-08-18 12:44:33.832163+00:00
6a8da4b3b29db683dc95cb9c60f67af800844bbc1cc76080c1205abe97a21361,bird,train,images/train/bird/6a8da4b3b29db683dc95cb9c60f67af800844bbc1cc76080c1205abe97a21361.jpg,openverse,54c11f4e-d8b5-4a47-a080-0b4123972e13,https://www.flickr.com/photos/66956608@N06/54475450527,https://live.staticflickr.com/65535/54475450527_77b4d740cd_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Celebrate National Go Birding Day this weekend!"" by Flickr is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,1024,115362,2026-08-18 12:44:33.832213+00:00
6af957bee3aae0c9130a830fb42480ae1c744bc2caad33c439775db3cdd0e414,bird,train,images/train/bird/6af957bee3aae0c9130a830fb42480ae1c744bc2caad33c439775db3cdd0e414.jpg,openverse,20c25a23-8157-477b-aea8-56e77ff4223d,https://www.flickr.com/photos/189561381@N07/51953237174,https://live.staticflickr.com/65535/51953237174_1944373d61_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Backyard Birds #20"" by claralieu is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,683,1024,306355,2026-08-18 12:44:35.333682+00:00
71e2de45801c3a1490fa187ee44cd069ea5c20fcde08083f32e5abe2547cbbc1,bird,train,images/train/bird/71e2de45801c3a1490fa187ee44cd069ea5c20fcde08083f32e5abe2547cbbc1.jpg,openverse,cb8ed583-b565-413c-ae1b-b052f841de2b,https://www.flickr.com/photos/14663195@N02/52373894125,https://live.staticflickr.com/65535/52373894125_58c04ab1dc_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Wattle Bird chick pic 2"" by alden0249 is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,1024,683,213627,2026-08-18 12:44:34.835842+00:00
744bdf0c8821166b0e4e152e57adadf25375952130dc888c18181cec8b700fdf,bird,train,images/train/bird/744bdf0c8821166b0e4e152e57adadf25375952130dc888c18181cec8b700fdf.jpg,openverse,842930da-db62-4266-af22-16ebc2bbb950,https://www.flickr.com/photos/7876549@N07/51614919157,https://live.staticflickr.com/65535/51614919157_22179f8be9_b.jpg,CC-BY-2.0,https://creativecommons.org/licenses/by/2.0/,"""Richmond Bird Wing Butterfly"" by Marcus Grbac is licensed under CC BY 2.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/2.0/.",JPEG,768,1024,364585,2026-08-18 12:44:34.340341+00:00
